,Termo,Frequência Absoluta,Frequência Relativa (%)
1066,fraude,3,0.15
996,reproduzir,3,0.15
671,morrer,3,0.15
1366,filhote,3,0.15
1943,temor,3,0.15
1944,tribunal,3,0.15
435,leu,3,0.15
1232,sade,3,0.15
991,jesus,3,0.15
772,mostrar,3,0.15
77,🤦‍♀️,3,0.15
19,apoio,3,0.15
619,isolamento,3,0.15
541,atual,3,0.15
1109,cima,3,0.15
601,duas,3,0.15
1967,coronavírus,3,0.15
1968,deleta,3,0.15
1969,divulgação,3,0.15
614,compra,3,0.15
879,tanto,3,0.15
32,saco,3,0.15
529,pensa,3,0.15
1104,obvio,3,0.15
408,igual,3,0.15
1258,ódio,3,0.15
1260,eficaz,3,0.15
604,equipe,3,0.15
1261,leves,3,0.15
531,ganhar,3,0.15
1055,nessa,3,0.15
868,postagem,3,0.15
1064,rashid,3,0.15
1120,cuidar,3,0.15
641,azitromicina,3,0.15
843,doente,3,0.15
639,rico,3,0.15
986,nacional,3,0.15
1063,entrevista,3,0.15
510,ignorância,3,0.15
368,opinião,3,0.15
66,🤷‍♂️,3,0.15
1426,perder,3,0.15
627,recomendou,3,0.15
60,cérebro,3,0.15
55,conheço,3,0.15
377,porra,3,0.15
379,estado,3,0.15
382,tome,3,0.15
857,resultados,3,0.15
861,vive,3,0.15
1380,coração,3,0.15
1069,cdc,3,0.15
311,noite,3,0.15
1070,bill,3,0.15
248,daqui,3,0.15
239,deixar,3,0.15
1182,🙏,3,0.15
167,fácil,3,0.15
1181,feliz,3,0.15
467,ficar,3,0.15
244,😨,3,0.15
740,🤷🏻‍♀️,3,0.15
246,linha,3,0.15
1029,vários,3,0.15
153,sus,3,0.15
797,questão,3,0.15
1471,vacina,3,0.15
1071,gates,3,0.15
563,segundo,3,0.15
263,tia,3,0.15
156,mínimo,3,0.15
1632,trabalhar,3,0.15
1025,antibióticos,3,0.15
237,mito,3,0.15
934,justiça,3,0.15
566,perguntei,3,0.15
1614,4h,3,0.15
1390,podre,3,0.15
203,sp,3,0.15
1317,direito,3,0.15
200,negacionista,3,0.15
213,filho,3,0.15
943,oque,3,0.15
763,chamar,3,0.15
760,crise,3,0.15
219,falta,3,0.15
