Termo,"cloroquina-hidroxicloroquina-hydroxychloroquine","pessoas-pessoa","médicos-médica-médico","tomar-toma-tomaria-tomando",ser,"uso- usa-usar-usado",remédio,"covid-19-covid","faz-fazendo-fazer-fez","medicamento-medicamentos-medicação","estudo-estudos","diz-dizendo","coronavírus-coronavirus-corona",gente,"bolsonaro-bozo"
Freq1,89,53,9,9,24,48,18,19,0,14,10,13,39,20,9
Freq2,22,23,6,0,14,0,23,11,0,19,10,11,24,9,0
Freq3,37,34,59,29,34,34,40,22,25,51,0,0,36,12,0
Freq4,66,46,36,12,24,19,29,23,26,13,32,16,0,14,0
Freq5,157,41,50,137,35,41,41,60,37,27,37,30,12,21,29
Freq6,73,35,8,20,36,24,12,17,24,12,28,37,8,19,25
Freq7,60,26,71,13,35,28,13,17,41,0,9,18,0,23,47
