Termo,"cloroquina-hidroxicloroquina-hydroxychloroquine","pessoas-pessoa","médicos-médica-médico","tomar-toma-tomaria-tomando",ser,"uso- usa-usar-usado",remédio,"covid-19-covid","faz-fazendo-fazer-fez","medicamento-medicamentos-medicação","estudo-estudos","diz-dizendo","coronavírus-coronavirus-corona",gente,"bolsonaro-bozo",😂,deus,agora,todos,contra,"pacientes-paciente",texto,🤣,"sabe-saber",brasil,"morre-morreu-morrer-mortes",nada,presidente,"cura-curar-curam",vírus
Freq1,89,53,9,9,24,48,18,19,0,14,10,13,39,20,9,13,36,13,15,13,42,15,0,0,23,21,8,0,9,19
Freq2,22,23,6,0,14,0,23,11,0,19,10,11,24,9,0,9,13,7,8,18,6,0,0,10,0,12,0,8,20,0
Freq3,37,34,59,29,34,34,40,22,25,51,0,0,36,12,0,0,9,9,14,13,27,0,0,28,11,0,19,0,13,18
Freq4,66,46,36,12,24,19,29,23,26,13,32,16,0,14,0,0,0,22,23,12,0,19,18,10,0,0,17,0,34,28
Freq5,157,41,50,137,35,41,41,60,37,27,37,30,12,21,29,47,0,19,21,16,15,15,0,13,22,30,15,16,0,0
Freq6,73,35,8,20,36,24,12,17,24,12,28,37,8,19,25,39,10,9,0,10,0,30,18,11,11,19,12,25,0,9
Freq7,60,26,71,13,35,28,13,17,41,0,9,18,0,23,47,0,35,21,12,10,0,10,51,13,15,0,10,30,0,0
