Termo,uti,"uso, usa, usar, usado","pessoas, pessoa",alta,"cloroquina, hidroxicloroquina, hydroxychloroquine","pacientes, paciente",🙏,deus,quatro,"coronavírus, coronavirus, corona",sp,ser,brasil,fake,gente,"covid-19, covid",vírus,remédio,verdade,ver,texto,todos,"notícias, noticia","medicamento, medicamentos, medicação",contra,"hospital, hospitalização",agora,😂,"diz, dizendo",porque,pandemia,população,graças,👏,saúde,casos,amém,"morre, morreu, morrer, mortes","estudo, estudos",mundo,bom,"tomar, toma, tomaria, tomando","cura, curar, curam","bolsonaro, bozo","dias, dia","médicos, médica, médico",nada,record,certo,"sabe, saber",aqui,melhor,presidente,testes,news,"chinês, china",funciona,casa,colaterais,efeitos,"faz, fazendo, fazer, fez",bem,anos,tratamento,mandetta,receita,"fala, falar","nenhum, nenhuma",dr,"resultados, resultados",alho,cebola,🤣,dexametasona,sempre,sintomas,"corticoide, corticóide",vários,cru,amiga,suco,nunca,trump,zinco,eficaz,"preventivamente, prevenção",quiser,povo,malária,combinação,"ciência, cientistas",indica,tempo,oms,razão,gado,governo,cara,pt,"recomenda, recomendar"
Freq1,49,48,53,43,89,42,37,36,34,39,27,24,23,23,20,19,19,18,17,17,15,15,22,14,13,22,13,13,13,12,12,12,12,12,12,11,11,21,10,10,9,9,9,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freq2,0,0,23,0,22,6,0,13,0,24,0,14,0,20,9,11,0,23,13,16,0,8,6,19,18,0,7,9,11,0,0,0,0,0,0,0,0,12,10,6,5,0,20,0,0,6,0,29,15,10,8,8,8,7,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freq3,0,34,34,0,37,27,0,9,0,36,0,34,11,0,12,22,18,40,0,0,0,14,0,51,13,0,9,0,0,15,9,0,0,0,15,0,0,0,0,14,0,29,13,0,28,59,19,0,12,28,14,0,0,0,10,0,0,0,21,19,25,15,14,14,13,13,12,11,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freq4,0,19,46,0,66,0,0,0,0,0,0,24,0,0,14,23,28,29,11,9,19,23,0,13,12,0,22,0,16,10,0,0,0,0,10,0,0,0,32,13,0,12,34,0,19,36,17,0,0,10,9,0,0,0,0,11,16,12,0,12,26,15,11,14,0,0,12,0,0,11,52,23,18,17,16,14,25,14,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freq5,0,41,41,0,157,15,0,0,0,12,0,35,22,0,21,60,0,41,0,0,15,21,0,27,16,0,19,47,30,20,0,0,0,0,0,0,0,30,37,14,0,137,0,29,0,50,15,0,0,13,12,0,16,0,0,0,0,0,19,23,37,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,19,16,32,16,15,14,13,12,12,12,0,0,0,0,0,0,0
Freq6,0,24,35,0,73,0,0,10,0,8,0,36,11,9,19,17,9,12,0,9,30,0,0,12,10,0,9,39,37,8,0,0,0,0,0,0,0,19,28,15,0,20,0,25,0,8,12,0,8,11,0,0,25,26,0,0,0,0,0,0,24,11,0,0,0,0,8,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,8,19,16,15,12,9,8,0
Freq7,0,28,26,0,60,0,0,35,0,0,0,35,15,0,23,17,0,13,13,10,10,12,0,0,10,0,21,0,18,0,0,0,0,0,12,0,0,0,9,0,10,13,0,47,0,71,10,0,12,13,18,12,30,0,0,0,0,0,0,0,41,14,14,13,0,0,26,0,0,0,0,0,51,0,0,0,0,0,0,0,0,12,0,0,0,0,0,17,0,0,0,0,10,0,0,0,0,13,14,30
